url,has_gtag,has_meta_pixel,google_form_data_collection,meta_form_data_collection,form_data_collection,meta_form_data_configuration,rank,is_health,is_finance
000webhost.com,True,False,False,False,False,False,16097,False,False
003ms.ru,True,False,False,False,False,False,58982,True,False
009.xn--p1ai,True,False,False,False,False,False,110447,True,False
0101.co.jp,True,True,False,True,True,True,24602,False,False
0123movie.net,True,False,False,False,False,False,7787,False,False
01net.com,True,False,False,False,False,False,20737,False,False
021dental.com.br,True,True,False,False,False,False,656059,True,False
02ws.co.il,True,False,False,False,False,False,487848,False,False
037hdmovie.com,True,False,False,False,False,False,9490,False,False
083510.com,False,False,False,False,False,False,688296,False,False
083512.com,False,False,False,False,False,False,913333,False,False
1-2-do.com,True,False,False,False,False,False,710976,False,False
1-remont.com,True,False,False,False,False,False,904247,False,False
1000-premiers-jours.fr,False,False,False,False,False,False,268150,True,False
1000.menu,True,False,False,False,False,False,16780,False,False
10000birds.com,True,False,False,False,False,False,514765,False,False
10000recipe.com,True,True,False,False,False,True,65524,False,False
1000farmacie.it,True,False,False,False,False,False,75801,True,False
1000kitap.com,True,False,False,False,False,False,66185,False,False
1000ps.at,False,False,False,False,False,False,149758,False,False
1000ps.de,False,False,False,False,False,False,154551,False,False
10010.com,False,False,False,False,False,False,15784,False,False
1001fonts.com,True,False,False,False,False,False,27442,False,False
1001freefonts.com,True,False,False,False,False,False,31211,False,False
10086.cn,False,False,False,False,False,False,7100,False,False
100pasyansov.ru,False,False,False,False,False,False,636011,False,False
100tal.com,False,False,False,False,False,False,131412,False,False
101.ru,False,False,False,False,False,False,11003,False,False
101hotels.com,True,False,False,False,False,False,50437,False,False
101mobility.com,True,True,True,False,True,False,397300,True,False
101planners.com,True,False,False,False,False,False,242497,False,False
101weiqi.com,False,False,False,False,False,False,180621,False,False
1024tera.com,False,False,False,False,False,False,1218,False,False
103.by,True,True,False,False,False,False,42333,True,False
104.com.tw,True,True,True,True,True,True,10088,False,False
104.ua,True,False,False,False,False,False,331205,False,False
10adventures.com,True,False,False,False,False,False,440897,False,False
10downloader.com,False,False,False,False,False,False,291301,False,False
10jqka.com.cn,False,False,False,False,False,False,5958,False,True
10kysymysta.fi,False,False,False,False,False,False,407144,False,False
10minemail.com,True,True,False,True,True,True,151014,False,False
10minutemail.com,True,False,False,False,False,False,53840,False,False
10minutemail.net,True,False,False,False,False,False,51073,False,False
10times.com,True,False,False,False,False,False,30669,False,False
10web.io,True,True,False,True,True,True,63579,False,False
10xgenomics.com,False,False,False,False,False,False,211022,False,False
1111.com.tw,True,True,False,True,True,True,37662,False,False
112meldingen.nl,True,False,False,False,False,False,165861,True,False
115.com,False,False,False,False,False,False,19704,False,False
116foto.com,True,False,False,False,False,False,771066,False,False
118000.fr,True,False,False,False,False,False,314829,False,False
118712.fr,False,False,False,False,False,False,122430,False,False
11880.com,True,False,False,False,False,False,73601,False,False
118er.it,False,False,False,False,False,False,691814,True,False
11gdz.com.ua,True,False,False,False,False,False,143927,False,False
11st.co.kr,True,False,True,False,True,False,16219,False,False
121clicks.com,True,False,False,False,False,False,146919,False,False
123-hd.com,True,False,False,False,False,False,1686,False,False
12306.cn,False,False,False,False,False,False,16841,False,False
12348.gov.cn,False,False,False,False,False,False,296966,False,False
12388.gov.cn,False,False,False,False,False,False,96013,False,False
123comparer.fr,True,False,False,False,False,False,505382,False,False
123docz.net,True,False,False,False,False,False,107933,False,False
123fleurs.com,True,False,False,False,False,False,403485,False,False
123freecell.com,False,False,False,False,False,False,263652,False,False
123greetings.com,True,False,False,False,False,False,38070,False,False
123ink.ca,True,True,False,True,True,True,425864,False,False
123mc.dk,True,True,False,False,False,False,176396,False,False
123milhas.com,True,True,True,True,True,True,49512,False,False
123moviesfree.net,False,False,False,False,False,False,12454,False,False
123notices.com,True,False,True,False,True,False,199055,False,False
123pan.com,False,False,False,False,False,False,25400,False,False
123planten.nl,True,False,False,False,False,False,452057,False,False
123rf.com,True,True,False,True,True,True,6813,False,False
123telugu.com,True,False,False,False,False,False,32584,False,False
123test.com,True,False,True,False,True,False,103508,False,False
123zimmerpflanzen.de,True,True,False,False,False,False,598125,False,False
1242.com,True,False,False,False,False,False,99803,False,False
126.com,False,False,False,False,False,False,14272,False,False
12baliv.com.ua,True,False,False,False,False,False,142014,False,False
12dt.com,False,False,False,False,False,False,402260,False,False
12ft.io,True,False,False,False,False,False,30479,False,False
12go.asia,True,False,True,False,True,False,42832,False,False
12knig.com,False,False,False,False,False,False,540349,False,False
12minprep.com,True,False,False,False,False,False,983758,False,False
12ndr.at,False,False,False,False,False,False,771153,False,False
12thmanrising.com,True,True,False,True,True,True,215927,False,False
12tomatoes.com,True,True,False,False,False,False,141362,False,False
12twenty.com,True,False,True,False,True,False,233543,False,False
130point.com,True,False,False,False,False,False,109882,False,False
13377x.tw,False,False,False,False,False,False,166168,False,False
