url,is_default_key_list,key_list
0101.co.jp,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
10000recipe.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'db', 'external_id']"
104.com.tw,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
10minemail.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
10web.io,True,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'db', 'external_id', 'country']"
1111.com.tw,False,"['em', 'fn', 'ln', 'ph', 'ct', 'st', 'zp', 'country', 'ge']"
123ink.ca,True,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'country', 'db', 'external_id']"
123milhas.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
123rf.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
12thmanrising.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
13cabs.com.au,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'db']"
1800baskets.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
1800flowers.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'db', 'external_id']"
1800petmeds.com,False,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'external_id', 'db']"
1aauto.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
1stdibs.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
1stopbedrooms.com,True,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'db', 'country', 'external_id']"
1stphorm.com,True,"['em', 'fn', 'ln', 'ge', 'ct', 'st', 'zp', 'country', 'ph', 'db', 'external_id']"
1stplacespiritwear.com,True,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'db', 'country', 'external_id']"
21-draw.com,True,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'db', 'country', 'external_id']"
221616.com,False,"['em', 'ph']"
24hourfitness.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
29cm.co.kr,False,"['fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'em']"
2minutetabletop.com,True,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'db', 'country', 'external_id']"
2modern.com,True,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'external_id', 'country', 'db']"
2movers.com,True,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'db', 'country', 'external_id']"
2ndstreet.jp,True,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'country', 'db', 'external_id']"
2ndswing.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
3000toys.com,True,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'db', 'country', 'external_id']"
33m2.com.ua,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'db', 'country']"
360imprimir.com.br,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'external_id']"
38-8931.com,True,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'db', 'country', 'external_id']"
3dtotal.com,False,"['em', 'fn', 'ln']"
489pro.com,True,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'country', 'db', 'external_id']"
4for4.com,True,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'country', 'db', 'external_id']"
4ocean.com,False,"['em', 'fn', 'ln']"
4over.com,False,"['em', 'ph', 'zp', 'ct', 'st', 'country', 'external_id']"
4travel.jp,False,"['em', 'ph']"
4zida.rs,True,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'country', 'db', 'external_id']"
500px.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
550909.com,True,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'country', 'db', 'external_id']"
55content.com.br,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st', 'db']"
57hours.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
5ingredients15minutes.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
77diamonds.com,False,"['em', 'fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'db']"
7eminar.ua,True,"['em', 'ph', 'fn', 'ln', 'ge', 'ct', 'st', 'zp', 'country', 'external_id', 'db']"
7shifts.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
80000hours.org,False,"['em', 'fn', 'ln']"
8a.si,False,['em']
8points9seconds.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
90min.com,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
90min.de,False,"['em', 'fn', 'ln', 'ph', 'ge', 'zp', 'ct', 'st']"
919g.co.jp,False,"['em', 'ph']"
91app.com,False,"['fn', 'ln', 'ge', 'ph', 'ct', 'st', 'zp', 'em']"
