url,type,status,multiple_pixels_with_different_configs
hsn.com,Meta configuration but no collection,TRUE,FALSE
knbr.com,Meta configuration but no collection,FALSE,FALSE
skechers.co.uk,Meta configuration but no collection,exclude - no Meta,FALSE
shoppersdrugmart.ca,Meta configuration but no collection,exclude - no configuration,FALSE
centennialcollege.ca,Meta configuration but no collection,FALSE,TRUE
trustdice.win,Meta configuration but no collection,exclude - no configuration,FALSE
budujemydom.pl,Meta configuration but no collection,FALSE,FALSE
thrivecausemetics.com,Meta configuration but no collection,TRUE,FALSE
lucid.app,Meta configuration but no collection,TRUE,FALSE
karwei.nl,Meta configuration but no collection,TRUE,FALSE
instacart.ca,Meta configuration but no collection,TRUE,FALSE
metacareers.com,Meta configuration but no collection,FALSE,FALSE
self.com,Meta configuration but no collection,TRUE,FALSE
astonmartin.com,Meta configuration but no collection,exclude - no Meta,FALSE
skyeng.ru,Meta configuration but no collection,exclude - no configuration,TRUE
liputan6.com,Meta configuration but no collection,TRUE,FALSE
hay.com,Meta configuration but no collection,exclude - no Meta,FALSE
assai.com.br,Meta configuration but no collection,TRUE,TRUE
agupdate.com,Meta configuration but no collection,FALSE,FALSE
veganuary.com,Meta configuration but no collection,FALSE,TRUE
angel.com,Meta configuration but no collection,TRUE,FALSE
theticketfactory.com,Meta configuration but no collection,TRUE,FALSE
yungching.com.tw,Meta configuration but no collection,TRUE,FALSE
spikeybits.com,Meta configuration but no collection,FALSE,FALSE
battlefields.org,Meta configuration but no collection,TRUE,FALSE
vista.com,Meta configuration but no collection,FALSE,TRUE
eaton.com,Meta configuration but no collection,TRUE,FALSE
mackiteboarding.com,Meta configuration but no collection,TRUE,FALSE
sebrae.com.br,Meta configuration but no collection,exclude - no Meta,FALSE
morningbrew.com,Meta configuration but no collection,TRUE,FALSE
helzberg.com,Meta configuration but no collection,TRUE,FALSE
nordlocker.com,Meta configuration but no collection,exclude - no configuration,FALSE
thegospelcoalition.org,Meta configuration but no collection,FALSE,FALSE
aquariumadvice.com,Meta configuration but no collection,TRUE,FALSE
shippit.com,Meta configuration but no collection,TRUE,FALSE
sailgp.com,Meta configuration but no collection,FALSE,FALSE
menulog.com.au,Meta configuration but no collection,TRUE,FALSE
demdaco.com,Meta configuration but no collection,TRUE,FALSE
acculynx.com,Meta configuration but no collection,FALSE,FALSE
expressionfiberarts.com,Meta configuration but no collection,TRUE,FALSE
trustmyscience.com,Meta configuration but no collection,FALSE,FALSE
conad.it,Meta configuration but no collection,TRUE,FALSE
kari.com,Meta configuration but no collection,TRUE,FALSE
pureflix.com,Meta configuration but no collection,TRUE,FALSE
harrys.com,Meta configuration but no collection,TRUE,FALSE
groupon.com.au,Meta configuration but no collection,TRUE,TRUE
wegmans.com,Meta configuration but no collection,TRUE,FALSE
calendly.com,Meta configuration but no collection,FALSE,FALSE
stillwhite.com.au,Meta configuration but no collection,FALSE,FALSE
olg.ca,Meta configuration but no collection,exclude - no configuration,TRUE
ceneo.pl,Meta configuration but no collection,TRUE,FALSE
norauto.fr,Meta configuration but no collection,TRUE,FALSE
girlscouts.org,Meta configuration but no collection,TRUE,FALSE
whataburger.com,Meta configuration but no collection,TRUE,FALSE
glassdoor.co.uk,Meta configuration but no collection,TRUE,FALSE
coorslight.com,Meta configuration but no collection,exclude - no Meta,FALSE
marriott.com,Meta configuration but no collection,exclude - no configuration,FALSE
davidyurman.com,Meta configuration but no collection,FALSE,FALSE
antoshka.ua,Meta configuration but no collection,TRUE,FALSE
thedodo.com,Meta configuration but no collection,FALSE,FALSE
bereli.com,Meta configuration but no collection,TRUE,FALSE
whirlpool.com,Meta configuration but no collection,TRUE,TRUE
adm.com,Meta configuration but no collection,FALSE,FALSE
wildforkfoods.com,Meta configuration but no collection,TRUE,FALSE
dillards.com,Meta configuration but no collection,TRUE,FALSE
osmosis.org,Meta configuration but no collection,TRUE,FALSE
autozone.com,Meta configuration but no collection,TRUE,FALSE
personalizationmall.com,Meta configuration but no collection,TRUE,FALSE
walla.co.il,Meta configuration but no collection,FALSE,FALSE
lancers.jp,Meta configuration but no collection,FALSE,TRUE
linenchest.com,Meta configuration but no collection,TRUE,FALSE
themillionroses.com,Meta configuration but no collection,TRUE,FALSE
rockbottomgolf.com,Meta configuration but no collection,TRUE,FALSE
nissanusa.com,Meta configuration but no collection,exclude - no Meta,FALSE
redletterdays.co.uk,Meta configuration but no collection,TRUE,FALSE
betway.co.zm,Meta configuration but no collection,TRUE,FALSE
playalberta.ca,Meta configuration but no collection,TRUE,FALSE
cummins.com,Meta configuration but no collection,TRUE,FALSE
ross-simons.com,Meta configuration but no collection,FALSE,FALSE
vuahanghieu.com,Meta configuration but no collection,TRUE,TRUE
autozone.com.mx,Meta configuration but no collection,TRUE,FALSE
simpleclub.com,Meta configuration but no collection,TRUE,TRUE
pella.com,Meta configuration but no collection,FALSE,TRUE
bugcrowd.com,Meta configuration but no collection,TRUE,FALSE
edreams.com,Meta configuration but no collection,TRUE,FALSE
pilatos.com,Meta configuration but no collection,TRUE,TRUE
motatos.de,Meta configuration but no collection,TRUE,FALSE
sears.com,Meta configuration but no collection,FALSE,FALSE
pushys.com.au,Meta configuration but no collection,TRUE,FALSE
shopyvision.com,Meta configuration but no collection,FALSE,FALSE
westcoastkids.ca,Meta configuration but no collection,FALSE,FALSE
in-cosmetics.com,Meta configuration but no collection,TRUE,FALSE
westwing.com.br,Meta configuration but no collection,TRUE,FALSE
vendatodosantodia.com.br,Meta configuration but no collection,TRUE,TRUE
food52.com,Meta configuration but no collection,TRUE,FALSE
nortonlifelock.com,Meta configuration but no collection,TRUE,FALSE
icrc.org,Meta configuration but no collection,TRUE,FALSE
reliving.nl,Meta configuration but no collection,TRUE,FALSE
bose.com,Meta configuration but no collection,TRUE,FALSE
mamaloes.nl,Meta configuration but no collection,FALSE,FALSE
sleepnumber.com,Meta configuration but no collection,TRUE,TRUE
reggaetonbeachfestival.com,Meta configuration but no collection,TRUE,FALSE
luxoliving.com.au,Meta configuration but no collection,TRUE,FALSE
pzwl.pl,Meta configuration but no collection,TRUE,FALSE
mazdausa.com,Meta configuration but no collection,unreachable website,FALSE
duolingo.com,Meta configuration but no collection,TRUE,FALSE
buyagift.co.uk,Meta configuration but no collection,TRUE,FALSE
torontopearson.com,Meta configuration but no collection,FALSE,TRUE
tygodnik-rolniczy.pl,Meta configuration but no collection,FALSE,TRUE
arstechnica.com,Meta configuration but no collection,TRUE,FALSE
greensociety.cc,Meta configuration but no collection,TRUE,FALSE
gwu.edu,Meta configuration but no collection,TRUE,FALSE
esprit-padel-shop.com,Meta configuration but no collection,exclude - no Meta,FALSE
batteriesplus.com,Meta configuration but no collection,FALSE,FALSE
panasonic.jp,Meta configuration but no collection,FALSE,TRUE
99acres.com,Meta configuration but no collection,TRUE,FALSE
pushpay.com,Meta configuration but no collection,TRUE,FALSE
sierralivingconcepts.com,Meta configuration but no collection,TRUE,FALSE
agrofakt.pl,Meta configuration but no collection,TRUE,FALSE
checkr.com,Meta configuration but no collection,FALSE,FALSE
universalparks.com,Meta configuration but no collection,TRUE,FALSE
gametrade.jp,Meta configuration but no collection,FALSE,FALSE
fasteasy.io,Meta configuration but no collection,TRUE,FALSE
mastercraft.com,Meta configuration but no collection,TRUE,TRUE
natura.com.br,Meta configuration but no collection,exclude - no Meta,TRUE
canadacomputers.com,Meta configuration but no collection,FALSE,FALSE
travismathew.com,Meta configuration but no collection,exclude - no Meta,FALSE
gu-global.com,Meta configuration but no collection,FALSE,TRUE
ruinmyweek.com,Meta configuration but no collection,FALSE,FALSE
escolaconquer.com.br,Meta configuration but no collection,FALSE,FALSE
wired.com,Meta configuration but no collection,FALSE,FALSE
bytesim.com,Meta configuration but no collection,FALSE,FALSE
culturevelo.com,Meta configuration but no collection,exclude - no Meta,FALSE
socialself.com,Meta configuration but no collection,FALSE,TRUE
stm.info,Meta configuration but no collection,FALSE,TRUE
samsclub.com,Meta configuration but no collection,FALSE,FALSE
betfan.pl,Meta configuration but no collection,TRUE,FALSE
choicehotels.com,Meta configuration but no collection,TRUE,FALSE
ugg.com,Meta configuration but no collection,TRUE,FALSE
educo.org,Meta configuration but no collection,TRUE,FALSE
