url,type,status,multiple_pixels_with_different_configs
hylands.com,Meta configuration but no collection,exclude - no configuration,FALSE
wtatennis.com,Meta configuration but no collection,FALSE,FALSE
purina.com.mx,Meta configuration but no collection,FALSE,TRUE
zumbawear.com,Meta configuration but no collection,exclude - no configuration,FALSE
wyndhamhotels.com,Meta configuration but no collection,TRUE,FALSE
extreme-tennis.fr,Meta configuration but no collection,exclude - no Meta,FALSE
stitchfix.com,Meta configuration but no collection,TRUE,TRUE
zebra.com,Meta configuration but no collection,TRUE,FALSE
drive.com.au,Meta configuration but no collection,exclude - no configuration,FALSE
skechers.com,Meta configuration but no collection,exclude - no Meta,FALSE
thuysinhtim.vn,Meta configuration but no collection,FALSE,FALSE
boatus.org,Meta configuration but no collection,TRUE,FALSE
sportchek.ca,Meta configuration but no collection,FALSE,TRUE
astrotalk.com,Meta configuration but no collection,FALSE,FALSE
nordstrom.com,Meta configuration but no collection,TRUE,FALSE
fishusa.com,Meta configuration but no collection,TRUE,FALSE
microspot.ch,Meta configuration but no collection,exclude - no configuration,FALSE
tennistonic.com,Meta configuration but no collection,FALSE,FALSE
edh.tw,Meta configuration but no collection,TRUE,TRUE
bevmo.com,Meta configuration but no collection,exclude - no Meta,FALSE
olimpica.com,Meta configuration but no collection,FALSE,FALSE
pccasegear.com,Meta configuration but no collection,TRUE,FALSE
drinksupermarket.com,Meta configuration but no collection,exclude - no Meta,FALSE
allvolleyball.com,Meta configuration but no collection,exclude - no configuration,FALSE
uniqlo.com,Meta configuration but no collection,TRUE,FALSE
yamahamotorsports.com,Meta configuration but no collection,FALSE,TRUE
autotrader.com,Meta configuration but no collection,TRUE,FALSE
flyost.com,Meta configuration but no collection,FALSE,FALSE
newtonbaby.com,Meta configuration but no collection,FALSE,FALSE
monday.com,Meta configuration but no collection,FALSE,FALSE
marinabaysands.com,Meta configuration but no collection,TRUE,FALSE
novritsch.com,Meta configuration but no collection,FALSE,FALSE
tena.de,Meta configuration but no collection,TRUE,FALSE
cityexperiences.com,Meta configuration but no collection,TRUE,TRUE
playhousesquare.org,Meta configuration but no collection,TRUE,FALSE
carfax.com,Meta configuration but no collection,TRUE,FALSE
birdsandblooms.com,Meta configuration but no collection,TRUE,FALSE
weclapp.com,Meta configuration but no collection,FALSE,FALSE
theroyalforums.com,Meta configuration but no collection,TRUE,FALSE
vw.com.mx,Meta configuration but no collection,TRUE,TRUE
kyivstar.ua,Meta configuration but no collection,exclude - no Meta,FALSE
hebe.pl,Meta configuration but no collection,exclude - no configuration,TRUE
veteransadvantage.com,Meta configuration but no collection,TRUE,FALSE
adidas.com,Meta configuration but no collection,TRUE,TRUE
milb.com,Meta configuration but no collection,FALSE,FALSE
beliani.pl,Meta configuration but no collection,TRUE,FALSE
landandfarm.com,Meta configuration but no collection,TRUE,FALSE
americascup.com,Meta configuration but no collection,exclude - no configuration,FALSE
cloudappreciationsociety.org,Meta configuration but no collection,exclude - no configuration,FALSE
glambox.com.br,Meta configuration but no collection,TRUE,TRUE
coloria.jp,Meta configuration but no collection,FALSE,FALSE
rsna.org,Meta configuration but no collection,FALSE,TRUE
privateproperty.co.za,Meta configuration but no collection,FALSE,FALSE
carhartt.com,Meta configuration but no collection,FALSE,FALSE
discounttire.com,Meta configuration but no collection,FALSE,FALSE
servicetitan.com,Meta configuration but no collection,TRUE,FALSE
ufcespanol.com,Meta configuration but no collection,exclude - no Meta,FALSE
brastemp.com.br,Meta configuration but no collection,FALSE,FALSE
macys.com,Meta configuration but no collection,TRUE,FALSE
luxuryescapes.com,Meta configuration but no collection,TRUE,FALSE
prizegrab.com,Meta configuration but no collection,TRUE,FALSE
islamic-relief.org,Meta configuration but no collection,TRUE,FALSE
gaytimes.co.uk,Meta configuration but no collection,FALSE,FALSE
clorox.com,Meta configuration but no collection,TRUE,TRUE
storemarais.com,Meta configuration but no collection,FALSE,TRUE
match.com,Meta configuration but no collection,TRUE,FALSE
baby-calendar.jp,Meta configuration but no collection,FALSE,FALSE
rds.ca,Meta configuration but no collection,TRUE,TRUE
geosociety.org,Meta configuration but no collection,FALSE,FALSE
paloaltonetworks.com,Meta configuration but no collection,TRUE,FALSE
express.com,Meta configuration but no collection,FALSE,FALSE
admagazine.com,Meta configuration but no collection,TRUE,FALSE
spirit-airlines.com,Meta configuration but no collection,TRUE,FALSE
visitcos.com,Meta configuration but no collection,FALSE,TRUE
maytag.com,Meta configuration but no collection,TRUE,TRUE
casar.com,Meta configuration but no collection,TRUE,FALSE
sap.com,Meta configuration but no collection,FALSE,TRUE
prestigeflowers.co.uk,Meta configuration but no collection,TRUE,FALSE
insertlive.com,Meta configuration but no collection,TRUE,FALSE
youngchampion.jp,Meta configuration but no collection,TRUE,FALSE
ford.co.uk,Meta configuration but no collection,exclude - no Meta,FALSE
cartaodetodos.com.br,Meta configuration but no collection,exclude - no configuration,FALSE
firearmsdepot.com,Meta configuration but no collection,TRUE,FALSE
military1st.com,Meta configuration but no collection,FALSE,FALSE
eco-business.com,Meta configuration but no collection,FALSE,FALSE
shein.co.uk,Meta configuration but no collection,exclude - no Meta,FALSE
aquaforum.ua,Meta configuration but no collection,TRUE,FALSE
thethao247.vn,Meta configuration but no collection,TRUE,FALSE
docsend.com,Meta configuration but no collection,exclude - no Meta,FALSE
hesstoytruck.com,Meta configuration but no collection,TRUE,FALSE
attachmentproject.com,Meta configuration but no collection,FALSE,FALSE
carid.com,Meta configuration but no collection,TRUE,FALSE
bandlab.com,Meta configuration but no collection,FALSE,FALSE
vinwonders.com,Meta configuration but no collection,FALSE,FALSE
adidas.mx,Meta configuration but no collection,TRUE,FALSE
ford.fr,Meta configuration but no collection,exclude - no Meta,FALSE
crystalmountainresort.com,Meta configuration but no collection,TRUE,FALSE
somabreath.com,Meta configuration but no collection,FALSE,FALSE
rvusa.com,Meta configuration but no collection,TRUE,FALSE
pksafety.com,Meta configuration but no collection,exclude - no Meta,FALSE
chopard.com,Meta configuration but no collection,TRUE,FALSE
beretta.com,Meta configuration but no collection,TRUE,FALSE
nordstromrack.com,Meta configuration but no collection,unreachable website,FALSE
bekommenamenskette.com,Meta configuration but no collection,FALSE,FALSE
land.com,Meta configuration but no collection,TRUE,FALSE
nwhealth.edu,Meta configuration but no collection,exclude - no Meta,FALSE
viedemerde.fr,Meta configuration but no collection,exclude - no Meta,FALSE
supervasco.com,Meta configuration but no collection,exclude - no Meta,FALSE
deervalley.com,Meta configuration but no collection,TRUE,FALSE
kitchenaid.com,Meta configuration but no collection,TRUE,TRUE
waikikitrolley.com,Meta configuration but no collection,FALSE,FALSE
shein.com,Meta configuration but no collection,FALSE,TRUE
designi.com.br,Meta configuration but no collection,FALSE,FALSE
canadiantire.ca,Meta configuration but no collection,FALSE,TRUE
mystake.bet,Meta configuration but no collection,TRUE,FALSE
drugfree.org,Meta configuration but no collection,TRUE,FALSE
mineo.jp,Meta configuration but no collection,TRUE,FALSE
pbo.co.uk,Meta configuration but no collection,FALSE,FALSE
instacart.com,Meta configuration but no collection,TRUE,FALSE
elementor.com,Meta configuration but no collection,TRUE,FALSE
