url,status,validation type
business-standard.com,TRUE,detected Google Tag but no FDC
tap-biz.jp,TRUE,detected Google Tag but no FDC
kumapon.jp,TRUE,detected Google Tag but no FDC
greenreport.it,TRUE,detected Google Tag but no FDC
grantwatch.com,FALSE,detected Google Tag but no FDC
tennisdirector.com,TRUE,detected Google Tag but no FDC
moscowwalking.ru,TRUE,detected Google Tag but no FDC
zabasearch.com,TRUE,detected Google Tag but no FDC
vanastenbabysuperstore.nl,TRUE,detected Google Tag but no FDC
sinobiological.com,TRUE,detected Google Tag but no FDC
whitehousehistory.org,TRUE,detected Google Tag but no FDC
marine-deals.co.nz,TRUE,detected Google Tag but no FDC
bcwsupplies.com,TRUE,detected Google Tag but no FDC
atleta.cc,TRUE,detected Google Tag but no FDC
planoplan.com,TRUE,detected Google Tag but no FDC
samehadaku.care,TRUE,detected Google Tag but no FDC
berger-camping.it,TRUE,detected Google Tag but no FDC
growagoodlife.com,TRUE,detected Google Tag but no FDC
macour.jp,TRUE,detected Google Tag but no FDC
emicalculator.net,TRUE,detected Google Tag but no FDC
gazetkapromocyjna.com.pl,TRUE,detected Google Tag but no FDC
swisscasinos.ch,TRUE,detected Google Tag but no FDC
dagospia.com,TRUE,detected Google Tag but no FDC
ektekos.com,TRUE,detected Google Tag but no FDC
extra.com.br,TRUE,detected Google Tag but no FDC
sherpa.org,TRUE,detected Google Tag but no FDC
shinetsu.co.jp,TRUE,detected Google Tag but no FDC
ixxx.com,error loading,detected Google Tag but no FDC
streamable.com,TRUE,detected Google Tag but no FDC
bca.co.id,FALSE,detected Google Tag but no FDC
adp.com,TRUE,detected Google Tag but no FDC
bol.com,missing gtag,detected Google Tag but no FDC
spicytrends.com,TRUE,detected Google Tag but no FDC
madeiramadeira.com.br,TRUE,detected Google Tag but no FDC
airhistory.net,TRUE,detected Google Tag but no FDC
transequality.org,TRUE,detected Google Tag but no FDC
housinganywhere.com,TRUE,detected Google Tag but no FDC
brastemp.com.br,TRUE,detected Google Tag but no FDC
whatismyipaddress.com,TRUE,detected Google Tag but no FDC
zinnedproject.org,TRUE,detected Google Tag but no FDC
infojobs.net,TRUE,detected Google Tag but no FDC
e-fumeur.fr,TRUE,detected Google Tag but no FDC
chesspro.ru,TRUE,detected Google Tag but no FDC
codycrossanswers.net,TRUE,detected Google Tag but no FDC
sudoku-knacker.de,TRUE,detected Google Tag but no FDC
wcostream.tv,TRUE,detected Google Tag but no FDC
tripadvisor.com,missing gtag,detected Google Tag but no FDC
calcworkshop.com,TRUE,detected Google Tag but no FDC
iturf.fr,TRUE,detected Google Tag but no FDC
psychomedia.qc.ca,TRUE,detected Google Tag but no FDC
schott-music.com,TRUE,detected Google Tag but no FDC
gafanho.to,TRUE,detected Google Tag but no FDC
loveawake.com,TRUE,detected Google Tag but no FDC
banq.qc.ca,TRUE,detected Google Tag but no FDC
tubidy.buzz,TRUE,detected Google Tag but no FDC
babyopkomst.nl,TRUE,detected Google Tag but no FDC
archiweb.cz,TRUE,detected Google Tag but no FDC
theurbandeveloper.com,TRUE,detected Google Tag but no FDC
familie.pl,TRUE,detected Google Tag but no FDC
biblia.com,TRUE,detected Google Tag but no FDC
docsteach.org,TRUE,detected Google Tag but no FDC
formsite.com,TRUE,detected Google Tag but no FDC
up-4ever.net,error loading,detected Google Tag but no FDC
puutarha.net,missing gtag,detected Google Tag but no FDC
magicbreaks.co.uk,TRUE,detected Google Tag but no FDC
interdiscount.ch,TRUE,detected Google Tag but no FDC
dossier.co,TRUE,detected Google Tag but no FDC
biologydictionary.net,TRUE,detected Google Tag but no FDC
musicca.com,TRUE,detected Google Tag but no FDC
altinkarne.com,TRUE,detected Google Tag but no FDC
5ch.net,TRUE,detected Google Tag but no FDC
wisconsin.gov,TRUE,detected Google Tag but no FDC
byrdie.com,TRUE,detected Google Tag but no FDC
fivestarseniorliving.com,TRUE,detected Google Tag but no FDC
city-journal.org,TRUE,detected Google Tag but no FDC
staedtler.com,error loading,detected Google Tag but no FDC
tinyurl.com,TRUE,detected Google Tag but no FDC
stylemepretty.com,TRUE,detected Google Tag but no FDC
bankinter.com,TRUE,detected Google Tag but no FDC
lingvist.com,TRUE,detected Google Tag but no FDC
condominioweb.com,TRUE,detected Google Tag but no FDC
respondeai.com.br,TRUE,detected Google Tag but no FDC
coinw.com,TRUE,detected Google Tag but no FDC
vroomvroomvroom.com.au,TRUE,detected Google Tag but no FDC
rockstargames.com,TRUE,detected Google Tag but no FDC
colorado.gov,error loading,detected Google Tag but no FDC
who.int,TRUE,detected Google Tag but no FDC
badassglass.com,TRUE,detected Google Tag but no FDC
90minut.pl,TRUE,detected Google Tag but no FDC
redflagdeals.com,TRUE,detected Google Tag but no FDC
incentivio.com,TRUE,detected Google Tag but no FDC
debijenkorf.nl,TRUE,detected Google Tag but no FDC
chevrolet.ca,TRUE,detected Google Tag but no FDC
ntathome.com,TRUE,detected Google Tag but no FDC
clubping.jp,TRUE,detected Google Tag but no FDC
kanjitisiki.com,TRUE,detected Google Tag but no FDC
animeddirect.co.uk,TRUE,detected Google Tag but no FDC
tankathon.com,TRUE,detected Google Tag but no FDC
redsys.es,TRUE,detected Google Tag but no FDC
aminer.cn,TRUE,detected Google Tag but no FDC
ffonts.net,TRUE,detected Google Tag but no FDC
skyscanner.com.tw,TRUE,detected Google Tag but no FDC
ebara.com,TRUE,detected Google Tag but no FDC
artic.edu,TRUE,detected Google Tag but no FDC
doitpoms.ac.uk,TRUE,detected Google Tag but no FDC
gencraft.com,TRUE,detected Google Tag but no FDC
trabajosdiarios.com,TRUE,detected Google Tag but no FDC
garantibbva.com.tr,missing gtag,detected Google Tag but no FDC
one-tap.jp,TRUE,detected Google Tag but no FDC
biletiva.com,TRUE,detected Google Tag but no FDC
americanaddictioncenters.org,TRUE,detected Google Tag but no FDC
planetarium-moscow.ru,missing gtag,detected Google Tag but no FDC
loteriasmundiales.com.ar,TRUE,detected Google Tag but no FDC
cults3d.com,TRUE,detected Google Tag but no FDC
lojaintegrada.com.br,TRUE,detected Google Tag but no FDC
vave.com,TRUE,detected Google Tag but no FDC
foodtecsolutions.com,TRUE,detected Google Tag but no FDC
test-aankoop.be,TRUE,detected Google Tag but no FDC
uci.org,TRUE,detected Google Tag but no FDC
wawa.com,TRUE,detected Google Tag but no FDC
aveanna.com,TRUE,detected Google Tag but no FDC
candid.org,TRUE,detected Google Tag but no FDC
nintendo.co.jp,TRUE,detected Google Tag but no FDC
trainspnrstatus.com,TRUE,detected Google Tag but no FDC
pixta.jp,TRUE,detected Google Tag but no FDC
icc-cricket.com,TRUE,detected Google Tag but no FDC
statscrew.com,TRUE,detected Google Tag but no FDC
mein-wetter.com,TRUE,detected Google Tag but no FDC
victronenergy.de,TRUE,detected Google Tag but no FDC
50plusmobiel.nl,TRUE,detected Google Tag but no FDC
topendsports.com,TRUE,detected Google Tag but no FDC
global-imi.com,TRUE,detected Google Tag but no FDC
mg.co.uk,TRUE,detected Google Tag but no FDC
ableteams.com,TRUE,detected Google Tag but no FDC
levenger.com,FALSE,detected Google Tag but no FDC
nasaspaceflight.com,TRUE,detected Google Tag but no FDC
yello.de,TRUE,detected Google Tag but no FDC
parkrun.ie,TRUE,detected Google Tag but no FDC
glossybingo.com,TRUE,detected Google Tag but no FDC
botoxchronicmigraine.com,TRUE,detected Google Tag but no FDC
marvelsnapzone.com,TRUE,detected Google Tag but no FDC
busindia.com,TRUE,detected Google Tag but no FDC
atpflightschool.com,TRUE,detected Google Tag but no FDC
solitudemountain.com,TRUE,detected Google Tag but no FDC
yokkao.com,TRUE,detected Google Tag but no FDC
cigarbid.com,TRUE,detected Google Tag but no FDC
promart.pe,TRUE,detected Google Tag but no FDC
theottoolbox.com,TRUE,detected Google Tag but no FDC
onthewater.com,error loading,detected Google Tag but no FDC
allinteractive.com.au,TRUE,detected Google Tag but no FDC
kupujemprodajem.com,TRUE,detected Google Tag but no FDC
gazzetta.it,TRUE,detected Google Tag but no FDC
auction.co.kr,TRUE,detected Google Tag but no FDC
vt.edu,TRUE,detected Google Tag but no FDC
myprotein.com,TRUE,detected Google Tag but no FDC
vi-shinkansen.co.jp,TRUE,detected Google Tag but no FDC
learningbrightside.com,FALSE,detected Google Tag but no FDC
alleycat.org,TRUE,detected Google Tag but no FDC
iconplc.com,TRUE,detected Google Tag but no FDC
tapjoy.com,TRUE,detected Google Tag but no FDC
bigtexordnance.com,TRUE,detected Google Tag but no FDC
virtuagym.com,TRUE,detected Google Tag but no FDC
tasteatlas.com,TRUE,detected Google Tag but no FDC
pepperjam.com,TRUE,detected Google Tag but no FDC
stillcurtain.com,TRUE,detected Google Tag but no FDC
booli.se,TRUE,detected Google Tag but no FDC
statikco.com,TRUE,detected Google Tag but no FDC
revell.de,TRUE,detected Google Tag but no FDC
pdalife.to,TRUE,detected Google Tag but no FDC
continente.pt,TRUE,detected Google Tag but no FDC
laurageller.com,TRUE,detected Google Tag but no FDC
keralalotterytoday.com,TRUE,detected Google Tag but no FDC
ballgametime.com,TRUE,detected Google Tag but no FDC
saintfrancis.com,missing gtag,detected Google Tag but no FDC
tradeit.gg,TRUE,detected Google Tag but no FDC
ensembl.org,TRUE,detected Google Tag but no FDC
alta.com,TRUE,detected Google Tag but no FDC
catena.ro,TRUE,detected Google Tag but no FDC
pcrf.net,TRUE,detected Google Tag but no FDC
regiodom.pl,TRUE,detected Google Tag but no FDC
findmespot.com,TRUE,detected Google Tag but no FDC
ut.ac.id,TRUE,detected Google Tag but no FDC
oxfordtreatment.com,TRUE,detected Google Tag but no FDC
xoso.mobi,TRUE,detected Google Tag but no FDC
peche-poissons.com,TRUE,detected Google Tag but no FDC
julianmarquina.es,TRUE,detected Google Tag but no FDC
pompiers.fr,missing gtag,detected Google Tag but no FDC
guysonly.com,TRUE,detected Google Tag but no FDC
helpwire.com,error loading,detected Google Tag but no FDC
nyitva.hu,TRUE,detected Google Tag but no FDC
jacobin.com,TRUE,detected Google Tag but no FDC
football365.com,TRUE,detected Google Tag but no FDC
semena.ru,TRUE,detected Google Tag but no FDC
utp.edu.pe,TRUE,detected Google Tag but no FDC
blueletterbible.org,TRUE,detected Google Tag but no FDC
nihontsushin.com,TRUE,detected Google Tag but no FDC
prezi.com,TRUE,detected Google Tag but no FDC
techloq.com,TRUE,detected Google Tag but no FDC
materialbank.com,TRUE,detected Google Tag but no FDC
rugby-japan.jp,TRUE,detected Google Tag but no FDC
playfootball.games,TRUE,detected Google Tag but no FDC
mypokercoaching.com,TRUE,detected Google Tag but no FDC
eenadu.net,TRUE,detected Google Tag but no FDC
ayk.gov.tr,TRUE,detected Google Tag but no FDC
