url,has_meta_pixel,meta_form_data_configuration,meta_form_data_collection,has_gtag,google_form_data_collection
buienalarm.nl,FALSE,FALSE,FALSE,TRUE,FALSE
hemkop.se,TRUE,FALSE,FALSE,TRUE,FALSE
tiermedizinportal.de,FALSE,FALSE,FALSE,FALSE,FALSE
mygls.be,FALSE,FALSE,FALSE,FALSE,FALSE
epuap.gov.pl,FALSE,FALSE,FALSE,FALSE,FALSE
therme-erding.de,TRUE,TRUE,FALSE,TRUE,FALSE
accuweather.com,FALSE,FALSE,FALSE,FALSE,FALSE
bahnbilder.de,FALSE,FALSE,FALSE,FALSE,FALSE
trivago.nl,TRUE,TRUE,TRUE,TRUE,FALSE
mapmyfitness.com,FALSE,FALSE,FALSE,FALSE,FALSE
fincantieri.com,FALSE,FALSE,FALSE,FALSE,FALSE
surplex.com,TRUE,TRUE,TRUE,TRUE,TRUE
energylandia.pl,TRUE,TRUE,TRUE,TRUE,TRUE
halkbank.com.tr,FALSE,FALSE,FALSE,FALSE,FALSE
letour.fr,TRUE,TRUE,TRUE,TRUE,FALSE
giocaonlinesrl.it,FALSE,FALSE,FALSE,FALSE,FALSE
architekturbedarf.de,FALSE,FALSE,FALSE,TRUE,TRUE
alditalk-kundenbetreuung.de,FALSE,FALSE,FALSE,TRUE,FALSE
qnap.com,TRUE,TRUE,TRUE,TRUE,FALSE
fronius.com,TRUE,TRUE,TRUE,TRUE,TRUE
interactivebrokers.com,TRUE,FALSE,FALSE,TRUE,FALSE
sport1.de,FALSE,FALSE,FALSE,TRUE,FALSE
lecker.de,TRUE,FALSE,FALSE,TRUE,FALSE
parenting.pl,FALSE,FALSE,FALSE,TRUE,FALSE
mybuilder.com,TRUE,TRUE,TRUE,TRUE,TRUE
hidrive.com,TRUE,FALSE,FALSE,TRUE,FALSE
ebay.it,TRUE,TRUE,TRUE,TRUE,FALSE
lidl.cz,TRUE,FALSE,FALSE,TRUE,TRUE
kaercher.com,FALSE,FALSE,FALSE,FALSE,FALSE
gaysir.no,FALSE,FALSE,FALSE,FALSE,FALSE
shoop.de,TRUE,FALSE,FALSE,TRUE,FALSE
sawtoothsoftware.com,FALSE,FALSE,FALSE,TRUE,FALSE
gemu-group.com,FALSE,FALSE,FALSE,TRUE,FALSE
xing.com,FALSE,FALSE,FALSE,TRUE,FALSE
yoursurprise.nl,TRUE,TRUE,TRUE,TRUE,TRUE
lepetitfumeur.fr,FALSE,FALSE,FALSE,TRUE,FALSE
kox-direct.de,TRUE,FALSE,FALSE,TRUE,FALSE
sklepopon.com,TRUE,TRUE,TRUE,TRUE,FALSE
okcupid.com,TRUE,TRUE,TRUE,TRUE,FALSE
henkel-adhesives.com,FALSE,FALSE,FALSE,FALSE,FALSE
tender.pro,FALSE,FALSE,FALSE,FALSE,FALSE
moviepilot.de,TRUE,FALSE,FALSE,TRUE,FALSE
ghi-dc.org,FALSE,FALSE,FALSE,TRUE,FALSE
tre.se,TRUE,TRUE,FALSE,TRUE,FALSE
olympics.com,TRUE,TRUE,TRUE,TRUE,FALSE
epe.es,FALSE,FALSE,FALSE,TRUE,FALSE
wgv.de,TRUE,FALSE,FALSE,TRUE,FALSE
comune.napoli.it,FALSE,FALSE,FALSE,FALSE,FALSE
pmu.fr,TRUE,TRUE,TRUE,TRUE,FALSE
atoka.io,TRUE,FALSE,FALSE,TRUE,FALSE
fonus.se,FALSE,FALSE,FALSE,TRUE,FALSE
kaufland.cz,TRUE,FALSE,FALSE,TRUE,FALSE
skgeodesy.sk,FALSE,FALSE,FALSE,FALSE,FALSE
gls-group.com,FALSE,FALSE,FALSE,TRUE,FALSE
businessinsider.de,FALSE,FALSE,FALSE,TRUE,FALSE
teamup.com,FALSE,FALSE,FALSE,TRUE,FALSE
dedeman.ro,FALSE,FALSE,FALSE,TRUE,FALSE
fortuneo.fr,TRUE,FALSE,FALSE,TRUE,TRUE
cmc.com,FALSE,FALSE,FALSE,TRUE,FALSE
pfizer.com.br,FALSE,FALSE,FALSE,TRUE,FALSE
kvb.koeln,FALSE,FALSE,FALSE,TRUE,FALSE
timeoutdoors.com,FALSE,FALSE,FALSE,FALSE,FALSE
millerlite.com,TRUE,FALSE,FALSE,TRUE,FALSE
hsamuel.co.uk,TRUE,TRUE,FALSE,TRUE,FALSE
bolha.com,TRUE,TRUE,TRUE,TRUE,FALSE
auto24.ee,FALSE,FALSE,FALSE,TRUE,FALSE
airliners.de,FALSE,FALSE,FALSE,FALSE,FALSE
katholisch.de,TRUE,FALSE,FALSE,TRUE,FALSE
beuth.de,FALSE,FALSE,FALSE,TRUE,FALSE
ebusy.de,FALSE,FALSE,FALSE,TRUE,FALSE
braip.com,FALSE,FALSE,FALSE,FALSE,FALSE
abitare.it,FALSE,FALSE,FALSE,TRUE,FALSE
europris.no,TRUE,FALSE,FALSE,TRUE,FALSE
