url,status,validation type
parents.fr,TRUE,no detected Google Tag installation
helpnetsecurity.com,FALSE,no detected Google Tag installation
filmweb.pl,TRUE,no detected Google Tag installation
lisez.com,TRUE,no detected Google Tag installation
resv.jp,TRUE,no detected Google Tag installation
sporthive.com,TRUE,no detected Google Tag installation
teencounseling.com,TRUE,no detected Google Tag installation
jw.org,TRUE,no detected Google Tag installation
pascoe.de,TRUE,no detected Google Tag installation
nausicaa.fr,TRUE,no detected Google Tag installation
solvay.com,TRUE,no detected Google Tag installation
thomann.de,TRUE,no detected Google Tag installation
momat.go.jp,TRUE,no detected Google Tag installation
joom.ru,error loading,no detected Google Tag installation
reglomobile.fr,error loading,no detected Google Tag installation
hotpot.ai,TRUE,no detected Google Tag installation
ebay.com.hk,TRUE,no detected Google Tag installation
ing.pl,TRUE,no detected Google Tag installation
svitdovkola.org,TRUE,no detected Google Tag installation
truckmo.com,TRUE,no detected Google Tag installation
euroleaguebasketball.net,TRUE,no detected Google Tag installation
beauxarts.com,TRUE,no detected Google Tag installation
zcu.cz,TRUE,no detected Google Tag installation
otkritkis.com,TRUE,no detected Google Tag installation
e2ma.net,TRUE,no detected Google Tag installation
penalreform.org,TRUE,no detected Google Tag installation
coolbet.com,TRUE,no detected Google Tag installation
exeo.app,TRUE,no detected Google Tag installation
fancourier.ro,TRUE,no detected Google Tag installation
cabdirect.org,TRUE,no detected Google Tag installation
medlexi.de,TRUE,no detected Google Tag installation
deviantartsupport.com,TRUE,no detected Google Tag installation
bold.dk,TRUE,no detected Google Tag installation
shira.net,TRUE,no detected Google Tag installation
bmw.es,TRUE,no detected Google Tag installation
uhcjarvis.com,TRUE,no detected Google Tag installation
polytechnique.fr,TRUE,no detected Google Tag installation
samplicio.us,TRUE,no detected Google Tag installation
lifeout.com,TRUE,no detected Google Tag installation
yoozhibo.net,TRUE,no detected Google Tag installation
apteka-april.ru,TRUE,no detected Google Tag installation
2345.com,TRUE,no detected Google Tag installation
thepiratebay0.org,TRUE,no detected Google Tag installation
abduzeedo.com,TRUE,no detected Google Tag installation
olympedia.org,TRUE,no detected Google Tag installation
transportstyrelsen.se,TRUE,no detected Google Tag installation
sac-cas.ch,TRUE,no detected Google Tag installation
bookfunnel.com,TRUE,no detected Google Tag installation
yaoipoisk.ru,TRUE,no detected Google Tag installation
herzstiftung.de,TRUE,no detected Google Tag installation
smrj.go.jp,TRUE,no detected Google Tag installation
maximusuk.co.uk,TRUE,no detected Google Tag installation
grouple.co,TRUE,no detected Google Tag installation
haberkorn.com,TRUE,no detected Google Tag installation
autozeitung.de,TRUE,no detected Google Tag installation
holmatro.com,TRUE,no detected Google Tag installation
bet365.gr,TRUE,no detected Google Tag installation
google.co.id,TRUE,no detected Google Tag installation
rubylane.com,FALSE,no detected Google Tag installation
picturemushroom.com,FALSE,no detected Google Tag installation
cashwalk.com,TRUE,no detected Google Tag installation
fortnitetracker.com,FALSE,no detected Google Tag installation
swm.de,TRUE,no detected Google Tag installation
uzmus.net,error loading,no detected Google Tag installation
pixelcatsend.com,TRUE,no detected Google Tag installation
mcw19.com,TRUE,no detected Google Tag installation
z-lib.org,TRUE,no detected Google Tag installation
roblox.com,TRUE,no detected Google Tag installation
nos.nl,TRUE,no detected Google Tag installation
bett1.de,TRUE,no detected Google Tag installation
kadobun.jp,TRUE,no detected Google Tag installation
bmw.com.tr,TRUE,no detected Google Tag installation
peerspace.com,FALSE,no detected Google Tag installation
